City,diesel,petrol
Sivaganga,95.2,103.57
Solan,84.56,95.26
Solapur,93.49,106.99
Sonapur,96.21,104.68
Sonbhadra,90.7,97.52
Sonipat,89.74,96.88
Sonitpur,88.75,97.2
South 24 Parganas,92.76,106.03
South Andaman,79.74,84.1
South Delhi,89.62,96.72
South District,89.9,102.85
South East Delhi,89.62,96.72
South Garo Hills,85.25,96.74
South Goa,89.68,97.11
South Tripura,89.27,100.38
South West Delhi,89.62,96.72
Southwest Khasi Hils,85.38,96.87
Srikakulam,99.53,111.84
Srinagar,86.97,101.98
Sukma,99.17,106.25
Sultanpur,91.14,97.98
Sundargarh,96.31,104.78
Supaul,95.55,108.88
Surajpur,96.67,103.7
Surat,92.4,96.63
Surendranagar,92.92,97.15
Surguja,96.57,103.59
Suryapet,97.22,109.04
Tamenglong,88.42,102.62
Tapi,92.75,96.99
Tarn Taran,88.09,97.75
Tawang,86.91,98.26
Tehri Garhwal,91.38,96.45
Tengnoupal,87.97,102.12
Teni,95.41,103.79
Thane,92.47,105.97
Thanjavur,94.88,103.25
The Dangs,93.01,97.25
Thiruvananthapuram,98.53,109.73
Thiruvarur,95.42,103.8
Thoubal,87.29,101.37
Thrissur,97.09,108.2
Tikamgarh,94.64,109.47
Tinsukia,88.51,96.98
Tirap,84.52,95.34
Tiruchchirappalli,95.04,103.41
Tirunelveli,94.6,102.95
Tirupur,94.78,103.17
Tiruvallur,94.4,102.81
Tiruvannamalai,95.12,103.54
Tonk,94.05,108.86
Tuensang,89.91,102.04
Tumkur,88.36,102.45
Tuticorin,94.6,102.97
Udaipur,94.13,108.92
Udalguri,89.25,97.73
Udham Singh Nagar,89.97,94.85
Udhampur,84.45,99.09
Udupi,87.54,101.59
Ujjain,94.25,109.01
Ukhrul,87.81,101.94
Umaria,95.81,110.71
Una,84.09,94.76
Unakoti,87.09,98.04
Unnao,89.96,96.78
Upper Siang,85.06,95.83
Upper Sibansiri,85.0,95.78
Uttar Dinajpur,93.23,106.54
Uttar Kannad,88.76,102.94
Uttarkashi,91.51,96.62
Vadodara,91.82,96.08
Vaishali,94.09,107.3
Valsad,93.15,97.39
Varanasi,90.08,96.89
Vellore,95.52,103.95
Vidisha,93.89,108.66
Vikarabad,98.88,110.79
Viluppuram,95.73,104.17
Virudunagar,95.4,103.76
Vishakhapatnam,98.27,110.48
Vizianagaram,99.57,111.88
Wanaparthy,99.12,111.05
Warangal,97.29,109.1
Warangal Rural,97.5,109.32
Wardha,93.52,107.01
Washim,93.59,107.07
Wayanad,97.84,109.05
West Champaran,95.82,109.15
West Delhi,89.62,96.72
West District,89.9,102.85
West Garo Hills,84.86,96.34
